year,category,category_slug,category_url,rank,rank_label,venue_idx,name,venue_url,profile_url,address,postcode,lat,lon,geocode_source
2026,Best Sussex Restaurant,best_sussex_restaurant,https://restaurantsbrighton.co.uk/best-restaurants-in-sussex/,18,eighteenth,37,The Woodcote Graffham,https://www.thewoodcote.com/,,,GU28 0NT,50.9503827,-0.6837554,Nominatim (Sussex bbox)
2026,Best Sussex Restaurant,best_sussex_restaurant,https://restaurantsbrighton.co.uk/best-restaurants-in-sussex/,19,nineteenth,38,Dill,https://restaurantsbrighton.co.uk/dill-lewes/,https://restaurantsbrighton.co.uk/dill-lewes/,,BN7 2BP,50.873813,0.019740,ONSPD via venue page postcode
2026,Best Sussex Restaurant,best_sussex_restaurant,https://restaurantsbrighton.co.uk/best-restaurants-in-sussex/,20,twentieth,39,The Pass,https://restaurantsbrighton.co.uk/the-pass-restaurant/,https://restaurantsbrighton.co.uk/the-pass-restaurant/,"Brighton Rd, Lower Beeding, Horsham RH13 6PS",RH13 6PS,51.014676,-0.262034,ONSPD via venue page postcode
2026,Best Brunch,best_brunch,https://restaurantsbrighton.co.uk/best-brunch-brighton/,1,Best Brunch in Brighton - First place,40,Jo & Co,https://restaurantsbrighton.co.uk/jo-and-co/,https://restaurantsbrighton.co.uk/jo-and-co/,"115 Church Road, Hove, BN3 2AF",BN3 2AF,50.828020,-0.171665,ONSPD via venue page postcode
2026,Best Brunch,best_brunch,https://restaurantsbrighton.co.uk/best-brunch-brighton/,2,Best Brunch in Brighton - Runner Up,41,Moksha,https://restaurantsbrighton.co.uk/moksha-caffe-brighton/,https://restaurantsbrighton.co.uk/moksha-caffe-brighton/,4-5 York Place Brighton East Sussex BN1 4GU,BN1 4GU,50.828646,-0.135785,ONSPD via venue page postcode
2026,Best Brunch,best_brunch,https://restaurantsbrighton.co.uk/best-brunch-brighton/,3,Third best brunch in Brighton,42,Starfish & Coffee,https://restaurantsbrighton.co.uk/starfish-and-coffee-cafe-brighton/,https://restaurantsbrighton.co.uk/starfish-and-coffee-cafe-brighton/,"32 Egremont Place, BN2 0GA Brighton",BN2 0GA,50.822748,-0.129148,ONSPD via venue page postcode
2026,Best Brunch,best_brunch,https://restaurantsbrighton.co.uk/best-brunch-brighton/,4,FOURTH place,43,Oeuf Cafe,https://restaurantsbrighton.co.uk/oeuf-cafe-hove/,https://restaurantsbrighton.co.uk/oeuf-cafe-hove/,"8 Third Avenue Hove, BN3 2PX",BN3 2PX,50.826000,-0.170934,ONSPD via venue page postcode
2026,Best Brunch,best_brunch,https://restaurantsbrighton.co.uk/best-brunch-brighton/,5,FIFTH place | Brunch Brighton,44,Mange Tout,https://restaurantsbrighton.co.uk/mange-tout-brighton/,https://restaurantsbrighton.co.uk/mange-tout-brighton/,"81 Trafalgar Street, Brighton, BN1 4EB",BN1 4EB,50.828445,-0.139002,ONSPD via venue page postcode
2026,Best Brunch,best_brunch,https://restaurantsbrighton.co.uk/best-brunch-brighton/,6,sixth place,45,FIKA,https://www.fikasussex.co.uk/,https://restaurantsbrighton.co.uk/sandwich-shops-in-brighton/,,BN2 1BX,50.819244,-0.126406,ONSPD via Nominatim (Sussex bbox)
2026,Best Brunch,best_brunch,https://restaurantsbrighton.co.uk/best-brunch-brighton/,7,seventh place | Brunch Brighton,46,Dishoom Permit Room,https://restaurantsbrighton.co.uk/dishoom-permit-room-brighton/,https://restaurantsbrighton.co.uk/dishoom-permit-room-brighton/,,BN1 1HL,50.821465,-0.139266,ONSPD via venue page postcode
