venue_idx,name,profile_url,venue_url,address,postcode,lat,lon,hove,sussex,geocode_source
85,Plateau,https://restaurantsbrighton.co.uk/plateau-brighton/,https://restaurantsbrighton.co.uk/plateau-brighton/,"1 Bartholowmews, Brighton, BN1 1HG",BN1 1HG,50.820995,-0.139682,False,False,ONSPD via venue page postcode
86,Bohemia,https://restaurantsbrighton.co.uk/bohemia-brighton/,https://restaurantsbrighton.co.uk/bohemia-brighton/,"54-55 Meeting House Ln, Brighton BN1 1HB",BN1 1HB,50.822154,-0.140729,False,False,ONSPD via venue page postcode
87,The Signalman,https://restaurantsbrighton.co.uk/signalman-brighton/,https://restaurantsbrighton.co.uk/signalman-brighton/,"76 DITCHLING RISE, BRIGHTON BN1 4QQ",BN1 4QQ,50.836404,-0.135618,False,False,ONSPD via venue page postcode
88,The Robin Hood,https://restaurantsbrighton.co.uk/robin-hood-brighton/,https://restaurantsbrighton.co.uk/robin-hood-brighton/,"1-3 Norfolk Place, Brighton, East Sussex, BN1 2PF",BN1 2PF,50.824751,-0.155549,False,False,ONSPD via venue page postcode
89,The Lion & Lobster,https://restaurantsbrighton.co.uk/lion-lobster-pub-brighton/,https://restaurantsbrighton.co.uk/lion-lobster-pub-brighton/,"24 Sillwood Street, Brighton, BN1 2PS",BN1 2PS,50.823874,-0.154675,False,False,ONSPD via venue page postcode
90,The Cleveland Arms,https://restaurantsbrighton.co.uk/the-cleveland-arms-brighton/,https://restaurantsbrighton.co.uk/the-cleveland-arms-brighton/,"27A Cleveland Road, Brighton, East Sussex, BN1 6FF",BN1 6FF,50.841599,-0.138195,False,False,ONSPD via venue page postcode
91,The Farm Tavern,https://restaurantsbrighton.co.uk/the-farm-tavern-hove/,https://restaurantsbrighton.co.uk/the-farm-tavern-hove/,"13 Farm Rd, Hove BN3 1FB",BN3 1FB,50.826786,-0.159146,True,False,ONSPD via venue page postcode
92,The Bell Tower,https://restaurantsbrighton.co.uk/bell-tower-brighton/,https://restaurantsbrighton.co.uk/bell-tower-brighton/,1 Arundel Road BN2 5TE Brighton,BN2 5TE,50.815831,-0.107704,False,False,ONSPD via venue page postcode
93,Ladies Mile,https://restaurantsbrighton.co.uk/ladies-mile-pub-patcham/,https://restaurantsbrighton.co.uk/ladies-mile-pub-patcham/,Mackie Avenue Patcham Brighton BN1 8RA,BN1 8RA,50.864987,-0.143616,False,False,ONSPD via venue page postcode
94,The Howard,,https://www.thehowardbrighton.co.uk/,,BN2 9TP,50.831238,-0.126976,False,False,ONSPD via Nominatim (Sussex bbox)
95,Sussex Yeoman,,https://www.instagram.com/thesussexyeoman/,,BN1 3LU,50.828715,-0.143323,False,False,ONSPD via Nominatim (Sussex bbox)
96,Argyle Arms,,https://www.instagram.com/theargylearmsbrighton/,,BN1 4QB,50.834046,-0.141506,False,False,ONSPD via Nominatim (Sussex bbox)
97,Bedford Tavern,,https://www.instagram.com/bedfordtavern/?hl=en-gb,,BN1 2PG,50.823597,-0.155949,False,False,ONSPD via Nominatim (Sussex bbox)
98,Mrs Fitzherberts,,https://mrsfitzherberts.co.uk/,,BN1 1UG,50.823701,-0.139063,False,False,ONSPD via Nominatim (Sussex bbox)
99,Better Half,https://restaurantsbrighton.co.uk/better-half-pub/,https://restaurantsbrighton.co.uk/better-half-pub/,"1 Hove Place, Hove, East Sussex BN3 2RG",BN3 2RG,50.825578,-0.174955,False,False,ONSPD via venue page postcode
100,The Westbourne,https://restaurantsbrighton.co.uk/the-westbourne/,https://restaurantsbrighton.co.uk/the-westbourne/,"The Westbourne, 90 Portland Road, Hove, BN3 5DN",BN3 5DN,50.832817,-0.182824,False,False,ONSPD via venue page postcode
101,The North Star,https://restaurantsbrighton.co.uk/the-north-star/,https://restaurantsbrighton.co.uk/the-north-star/,"2-3 Pavilion Buildings, Brighton, BN1 1EE",BN1 1EE,50.821994,-0.138236,False,False,ONSPD via venue page postcode
102,Longman,https://restaurantsbrighton.co.uk/the-longman-pub-brighton/,https://restaurantsbrighton.co.uk/the-longman-pub-brighton/,"The Longman, 2-10 Wilmington Way, Patcham, Brighton, BN1 8JH",BN1 8JH,50.859765,-0.140228,False,False,ONSPD via venue page postcode
103,Basketmakers Arms,https://restaurantsbrighton.co.uk/basketmakers-arms-brighton/,https://restaurantsbrighton.co.uk/basketmakers-arms-brighton/,12 Gloucester Road Brighton East Sussex BN1 4AD,BN1 4AD,50.826554,-0.136578,False,False,ONSPD via venue page postcode
104,La Choza,https://restaurantsbrighton.co.uk/la-choza/,https://restaurantsbrighton.co.uk/la-choza/,"36 Gloucester Road, Brighton BN1 4AQ",BN1 4AQ,50.826920,-0.139247,False,False,ONSPD via venue page postcode
105,Fatto a Mano,https://restaurantsbrighton.co.uk/fatto-a-mano-north-laine/,https://restaurantsbrighton.co.uk/fatto-a-mano-north-laine/,"Kensington Gardens, Brighton",BN1 4JF,50.832592,-0.137360,False,False,ONSPD via Nominatim (Sussex bbox)
106,Ask Italian,,https://www.askitalian.co.uk/italian/restaurants/brighton,,BN1 1AE,50.821384,-0.141753,False,False,ONSPD via Nominatim (Sussex bbox)
107,Nostos,https://restaurantsbrighton.co.uk/nostos-hove/,https://restaurantsbrighton.co.uk/nostos-hove/,"63a Holland Rd, Hove, BN3 1BA",BN3 1BA,50.826636,-0.161594,True,False,ONSPD via venue page postcode
108,Shepherd & Dog,https://restaurantsbrighton.co.uk/shepherd-dog-fulking-henfield/,https://restaurantsbrighton.co.uk/shepherd-dog-fulking-henfield/,"The St, Fulking, Henfield, W. Sussex BN5 9LU",BN5 9LU,50.888882,-0.227506,False,False,ONSPD via venue page postcode
109,Bagelman,,https://www.bagelman.co.uk/,,BN2 1TH,50.820825,-0.135273,False,False,ONSPD via Nominatim (Sussex bbox)
110,Shelter Hall,https://restaurantsbrighton.co.uk/shelter-hall-brighton/,https://restaurantsbrighton.co.uk/shelter-hall-brighton/,"Kings Road Arches, Shelter Hall, Brighton BN1 1NB",BN1 1NB,50.819992,-0.142235,False,False,ONSPD via venue page postcode
111,Donatello,https://restaurantsbrighton.co.uk/donatello-brighton/,https://restaurantsbrighton.co.uk/donatello-brighton/,,BN1 1HJ,50.821686,-0.139839,False,False,ONSPD via venue page postcode
112,The Chimney House,https://restaurantsbrighton.co.uk/chimney-house-brighton/,https://restaurantsbrighton.co.uk/chimney-house-brighton/,"28 Upper Hamilton Road, Brighton BN1 5DF",BN1 5DF,50.835039,-0.148127,False,False,ONSPD via venue page postcode
113,History Pizzeria,,https://historypizzeria.co.uk/,,BN3 2JQ,50.826314,-0.162871,False,False,ONSPD via Nominatim (Sussex bbox)
114,Good Companions,,https://www.goodcompanions.pub/,,BN1 3TE,50.831952,-0.147980,False,False,ONSPD via Nominatim (Sussex bbox)
115,Wood X Coal,,,,,50.8172888,-0.1241377,False,False,"Nominatim (Sussex bbox, no postcode)"
116,Sabai,https://restaurantsbrighton.co.uk/sabai-thai-brighton/,https://restaurantsbrighton.co.uk/sabai-thai-brighton/,"165-169 Princes House, Princes Place, North St, Brighton BN1 1EA",BN1 1EA,50.822634,-0.139460,False,False,ONSPD via venue page postcode
117,Blend & Brew,,https://blendbrewbrighton.co.uk/,,BN1 4ED,50.828290,-0.139434,False,False,ONSPD via Nominatim (Sussex bbox)
118,The Big Bowl,https://restaurantsbrighton.co.uk/the-big-bowl-brighton/,https://restaurantsbrighton.co.uk/the-big-bowl-brighton/,"54 Preston St, Brighton BN1 2HE",BN1 2HE,50.824016,-0.150580,False,False,ONSPD via venue page postcode
119,Flour Pot Bakery,https://restaurantsbrighton.co.uk/flour-pot-bakery-elm-grove-brighton/,https://restaurantsbrighton.co.uk/flour-pot-bakery-elm-grove-brighton/,124 Elm Grove BN2 3DB,BN2 3DB,50.831302,-0.123097,False,False,ONSPD via venue page postcode
120,Casazul,https://restaurantsbrighton.co.uk/casazul-brighton/,https://restaurantsbrighton.co.uk/casazul-brighton/,"Open Market, 21 Marshalls Row, Brighton BN1 4JU",BN1 4JU,50.831509,-0.135217,False,False,ONSPD via venue page postcode
121,Thatched Inn,,https://www.thatchedinn.co.uk/,,BN6 8DD,50.927943,-0.136429,False,False,ONSPD via Nominatim (Sussex bbox)
122,Salt Shed,,https://www.instagram.com/saltshed/,,BN1 1UD,50.824082,-0.138380,False,False,ONSPD via Nominatim (Sussex bbox)
